document,sentence
Willakuykuna-mayt’u-Collao,"Taytay manam maypipas atuq chupanta tarimunichu, qharantam aswan apamuchkani, pumapa kiruntapas manam tarimunichu, michitaqa yana kaptan t'iqurquni hinaspam kirunta, sunkhanta, sillunta ima urqurqamuni ninsi."
Willakuykuna-mayt’u-Collao,Maqt'akunaqa manas chay pachamanta puñuytapas tarinkuchu.
Willakuykuna-mayt’u-Collao,"Yaqapis puñuywan atipachikuqtinchik piqiwan kanichikun, llapan kurkunchik siqsiyta qallariykun, pirqaq k'ikllunkunantataqsi paraq chirapan uyanman ch'illkaykamun."
Willakuykuna-mayt’u-Collao,"Sulluka mama wakaqa millk'anqa p'unchawmanta p'unchawsi pisiyayapuchkan, chaysi wakallaqa khuyay tullullaña huk kancha ukhuman haykurun pisi k'achulla mikhuk."
Willakuykuna-mayt’u-Collao,"Chaysi Ullkuchaqa Ph'aqsika uray llaqtaman pantarqapusqa, hinaspas hatun mulli sach'aman asuykuspa wañuyta puñurqapusqa."
Willakuykuna-mayt’u-Collao,Chayllamanchik huk millay wayq'uman haykurqamun runaqa uywankuna qatiwusqa.
Willakuykuna-mayt’u-Collao,"Ullkuchaqa manas phiñakunchu, aswansi sapa kuti, uywa michiq rispa, luych'uta, atuqta ima sipirqullantaq, manañas ima suwapas kanñachu, chaysi llaqta runakunaqa mink'akun, sach'akuna, rumikuna q'ipinanpaq, Ullkuchaqa manaraq munayniyuq q'ala rikhuchkaptinsi payqa llamk'apaykukuchkan, chay p'unchawmantas lliw llaqta runa Ullkuchataqa khuyakusqaku."
Willakuykuna-mayt’u-Collao,Qayninpamantañan chayhina uma muyu hina umalliqninchikqa purichkan.
Willakuykuna-mayt’u-Collao,"Lliw uchuy, wayna, sipas, tayta, mama, machu, payakuna ima llaqtarunas llakipi tarikunku, wakinqa ñas waqachkankuña."
Willakuykuna-mayt’u-Collao,Chayta uyarispataq taytaqa rikrankunamanta hap'ispa aknata nisqa: ñuqapunin yanapaykiman mana imapas mikhuynikikunata yaykunanpaq.
Willakuykuna-mayt’u-Collao,¿Pim chay allin runa kay suwa pumata sipirsqamun?
Willakuykuna-mayt’u-Collao,"Tayta ama waqaychu, qarimasiymi kanki, waynaraqmi kanki, churiypas kawaq hinan kachkanki, hampisqaykim nispas waqtuta mañakuspa achkachata kallpawan upiyarqun."
Willakuykuna-mayt’u-Collao,"Ichaqa irqichaq mamanqa kawsasanchik, qakllataqsi qakanpis chay ayllu ukhupi tiyan, chay rimaykunata uyarispas runakunaqa lliwta utkayta rimanayukuspa ninku: hakuchu richkasun chay ñanta yaqapis chay puriyllapis irqichaqa kachkanman."
Willakuykuna-mayt’u-Collao,"Ch'inllas q'alaqa nitamun: ¡Kaypi maqt'a q'ipay!, amapunin ima kaptinpas rimarimunkichu, kunanmi p'añata supayninta sikinta qichimusaq, chaypim papacha kasqayta riqsiwanki."
Willakuykuna-mayt’u-Collao,"Kartiru runaqa chay raki ukhullamantas uyariyamuchkan llapa imaymana chay runakunaq rimasqanta, huk huch'uy t'ukuchamuntataq qhawayta atipayamuchkan; chiqaqtas chay runaqa purinaqayuchkan huk kimraymanñataq, chay huk kimraymanñataq, wichayman urayman chay patio pampapi suq'apayukuchkan, kartiruqa manasyá allintachu rikuyta atin, hinasyá qhawayuchkantaq uyariyuchkantaq chay raki ukhumanta."
Willakuykuna-mayt’u-Collao,"Runakunaqa supaychatas tullunpas qhatatarparin, chaysi chikanta waqtuchakunata animakunku, chayllamansi wallpa waqarqamun wak astaña wasimanta."
Willakuykuna-mayt’u-Collao,"Hinaspas p'ata kichkawan antichay p'unchawta hamp'atutaqa lluq'i chakinmanta t'ipayta qallarin, chaymantas lluq'i ñawpaq chakinta, paña chakinman, paña ñawpaq chakintataq wiksanman hiputa hina t'iparpayrin, simintapas qaqatas kichkawan t'ipan."
Willakuykuna-mayt’u-Collao,"Llaqtarunakunas rimarimunku, ¡Imatam chay millay asnaq Kintal Siki chaypi ruran!, qarqumuychik!"
Willakuykuna-mayt’u-Collao,"nispas; payqa ninsis ari ñuqam kani nispas; mistiqa ninsin hayq'amañakusqaykitan pagasayki, ima munasqaykitapas ichaqa warmayanayta hampirapuyaktiykiqa?"
Willakuykuna-mayt’u-Collao,Wataman huk karhuyq raymichaq.
Willakuykuna-mayt’u-Collao,"Chaysi runaqa phiñasqa kaqmanta uywachakunata ayllunkunamanta rantikun runaqa aymuray killapasi huk ayllumanta runakunawan kaqmanta kachiman rirqusqa, chaysi kachiwan sara tukuyman rikch'akusqa aymuraypi aycha q'ipikunata huñurqapusqa."
Willakuykuna-mayt’u-Collao,"Kanmancha yaqapis kuchka tutaña yaqaña kanman, hinallapis chay suwaqa mulanman sillarukuspa chay hatun qaqamach'aymanta purikaramun purikkunata suwananpaq, K'ana runakunaqa allintasya puñunankuta allcharqunku huch'uy ch'ukllapiqa ñallapis puñuyunallatañas, ichaqa chaypuñuna ukhumansis munayta rumita suk'arusqaku runa puñukta hinaraq chaytataqsi puñunawan qataykunku chiqaq runakunapis puñuchkanman hinas; paykunataqsi rumi kancha qhipapis pakakuchkanku."
Willakuykuna-mayt’u-Collao,Chay phakachaymi sinchita nanachkawan ¿Manachu yuyanki warak'aykita hapispa rumiwan warak'arquwasqaykita?
Willakuykuna-mayt’u-Collao,Tayta Lucio nintaqsi aswan ñuqanchiktan supiparachiwasun.
Willakuykuna-mayt’u-Collao,"Wallpa waqay pachatas, Kintal Siki taytaqa, rimarisqanta ruran, chay hampi rurasqanta apaykuspas umalliq unqusqan wasiman rin, hinaspas runakunata qawarispa upallaychalla unquqta rimapayan, hinaptinsi unquqqa mana rimarinchu, chaysi hampi apasqanta, umalliqpa siminta sasawan kicharispa chaninta upiyarachin, kimsakamas tuqriq tuqriq tuqriq hina milp'urqun."
Willakuykuna-mayt’u-Collao,Papay chaytaqa manam tarimunichu.
Willakuykuna-mayt’u-Collao,"Warmankunataqsi huk kanchachapi pukllaylla pukllaq, warminkutaqsi puñuylla puñuq mana imatapas ruraspa."
Willakuykuna-mayt’u-Collao,"Llakiwansi Ullkuchapa ayllunkunaqa tarikunku, imayna warmas wiñaspa kanqa nispa, hinaptinsi llapan ayllukuna huñupi rimarinku mayqam ayllu Ullkucha uywakunqa nispanku."
Willakuykuna-mayt’u-Collao,"Taytay Kintalku, ñan kunanqa antichay p'unchaw qallarimunña, chawpi tutam kachkan, kunanqa allin p'unchawmi niwasqaykihina."
