document,sentence
Kasarakuy raymimanta,"Imaraykuchus kawsaynin ukhupi uywakuna  chharqukusqanta, wachasqanta ima rikunku."
Kasarakuy raymimanta,Uywasqam uywakuna imayna  mirasqanta ima allinta yachanku.
Kasarakuy raymimanta,"Chaymanhina, ayllu irqikunap yuyayninpiqa,  imaynatam warmi qharipas masachakun chaytapas yachankum."
Kasarakuy raymimanta,"Chaymantapas ayllu irqiqa munasqantam ruran, ichaqa tayta mamanpa  qhawayninpi."
Kasarakuy raymimanta,May maypiqa warmi qhari wasipi tiyaqman pukllanku.
Kasarakuy raymimanta,"Chaytaqa  tayta mamanqa manam k’aminchu, aswanpas wayna, sipas kaspa imayna  kanankupaq yuyaychanku."
Kasarakuy raymimanta,Mayninpiqa huk asichikuywan ima yuyaychanku.
Kasarakuy raymimanta,"Waynaña sipasña kaptinku, kurkunku mana kikinchu kapun; chaypi imaymana  yuyay ukhurin."
Kasarakuy raymimanta,"Wayllupayakuy, sunqu munanakuy, qhari warmi kawsay, kasarakuy  yuyay ima ukhurin."
Kasarakuy raymimanta,"Ayllukunapiqa wayna sipas munanakuyqa, manam yanqa munanakuychu."
Kasarakuy raymimanta,"Qhawarinku, qullqiyuqchus, pim tayta maman, k’achachus, llamk’aysapachus,  uywayuqchus, allin kawsay kawsaqchus, chaykunatam qhawarinku."
Kasarakuy raymimanta,"Waynaqa kananmi allin chakra llamk’aq, allin kawsay kawsakuq, munakuyniyuq,  manchakuyniyuq, sumaq sunquyuq ima."
Kasarakuy raymimanta,"Sipasqa kananmi allin llamk’ay sapa, uywa mirachiq, allin phuchkaq, allin awaq,  allin wayk’ukuq ima."
Kasarakuy raymimanta,"Ayllukunapiqa munanakuyqa sumaq takiykunawan, willakuykunawan,  harawikunawan imam kan. Ahinatam sunquta suwanakunku."
Kasarakuy raymimanta,"Munapayanakuy, wayllupayanakuy Waynaqa, sipas munapayayta, wayllupayaytaqa ruranmi ayllu ukhupi."
Kasarakuy raymimanta,Munanakuypa pachankuna kay kunan:  Llaqta qhatuman purisqanmanta ch’isi kutipuchkaptin.
Kasarakuy raymimanta,Sipaspa uywan michinan patapi.
Kasarakuy raymimanta,"Chakra llamk’akunapi: chakmaypi, hasp’iypi."
Kasarakuy raymimanta,"Ayllu raymikunapi, wasichakuypi, San Juan tuta kusikuy raymikunapi,  qhasway pukllay raymipi, unu raymipi,  kasarakuykunapi iman, munapayay,  wayllupayaytaqa wayna sipasqa ruranku."
Kasarakuy raymimanta,Llaqta qhatuman purisqanmanta ch’isi kutipuchkaptin.
Kasarakuy raymimanta,"Sapanka llaqtapim qanchischaw p’unchaw ukhupim, qhatuna p’unchaw kan. Chay  qhatumanmi wayna sipaskuna sapa kuti purinku, chakillapi, bicicleta, moto nisqapi,  kunanqa karupi ima."
Kasarakuy raymimanta,"Aychata, willmata, kisuta, papata, ch’uñuta qhatuman apanku."
Kasarakuy raymimanta,"Sipaskuna qhatupi rantikuyta tukuspa ayllunman kutipuchkaptinku, waynaqa  tarispaspa rimapayayta qallarin."
Kasarakuy raymimanta,"Llaqtapi rimapayaspaqa wayna, sipasman misk’ita, gaseosa nisqata ima qun."
Kasarakuy raymimanta,"Sipasqa waynata allinta qhawarispa uyakun, hinaspa misk’ita chaskikun."
Kasarakuy raymimanta,"Waynataq  rimapayan, asichikuykunata willan, hinaspa sunqu churayta sipaswan hap’ichin."
Kasarakuy raymimanta,Huk p’unchawkuna wayna sipasman uywa michinan patapi taripan.
Kasarakuy raymimanta,"Chaypi  sapallanku wayna sipasqa quqawinkuta mikhunku, pakallapi mana tayta  mamanku yachananpaq."
Kasarakuy raymimanta,"Ayllupi munanakuypiqa waynaqa kusi sunqu kayninwanmi, sipasta uyakuchin;  mayninpiqa wayna sipaspaq llikllanta, sunrirunta ima p’achantapas qichun,  chukchanta ima apaqan."
Kasarakuy raymimanta,"Sipasqa churapakun waynata maqaspa, p’achanta qichupakuspa tayta maman  mana k’aminanpaq."
Kasarakuy raymimanta,"k’urpakunawan, waynaqa mana manchakuspa sipasta wasinkama qatipan, sipas  munakusqanta yachananpaq."
Kasarakuy raymimanta,"Sipaspa tayta maman yacharquptin, ususintan tapun: Pitaq chay wayna,  imaynapim riqsinakunki, llamk’aysapachus, allin kawsayniyuqchus, imaynam yawar  masin, uywayuqchu, qillqiyuqchu."
Kasarakuy raymimanta,"Allin allinta tapurispa, tayta mamanqa allin  wayna kasqanta yachaspa uyakunku, sichus, chay wayna uywayuq, allpayuq  kaptin."
Kasarakuy raymimanta,"Kayhinata ususinta rimapayaspa yuyaychan chay waynaqa uywachayuq,  allpachayuq, chay hukqa q’ala maqt’amari, imawantaq uywasunkimanri, nispa."
Kasarakuy raymimanta,"Munanakuy, wayllunakuy chiqaqña kaptin, wayna sipasman suñata aritita,  surtihata ima munakusqan warma yananman apan, urpicha sunqucha, wasiyman  apakusqayki, ¿ñuqata munakuwankimanchu?"
Kasarakuy raymimanta,Sumaqta tapurispa  makiwan chaskichin.
Kasarakuy raymimanta,"Mayninpiqa, sipas mana allin wayna kasqanta rikuspa, maqt’ata nin:  —Ñuqari  thanta maqt’awanchu kayman, manaraqmi ñawsachu kachkani, ñuqapaqqa  achkhan waynakuna kachkan —nispa."
Kasarakuy raymimanta,"Ichaqa allin wayna kaptin, sipasqa nin: —Arí  allinta rimanakusunchik tayta mamayman riqsichisqayki —nispa."
Kasarakuy raymimanta,"Tayta mamakunaqa, chay wayna qillachu, k’uchichus yachanankupaq chakra  hasp’iypi, imaymana llamk’anakunapi qhawanku."
Kasarakuy raymimanta,"Usqhaychus papata hasp’in, allin  kallpayuqchus, imaynatam wathiya hurnuta ruran."
Kasarakuy raymimanta,"Chaymanhina, waynamanta  rimanku: —K’uchi wayna, utaq qilla wayna —nispa."
Kasarakuy raymimanta,Kikillantataq sipastapas imayna  rurayninmanhina allin mana allin kasqanta qhawanku.
Kasarakuy raymimanta,"Chakra llamk’aykunapi: chakmaypi, hasp’iypi."
Kasarakuy raymimanta,Chakra hasp’iypi qatati pukllayta pukllanku.
Kasarakuy raymimanta,Huk chakrayuq runakuna  qhawananpaq.
Kasarakuy raymimanta,"Chay chakramanta ñuqanchikpa chakranchikman papankuna  hamunanpaq, chakrayuqqa istallapi kukawan papakunapa animunta waqyan."
Kasarakuy raymimanta,Chayhinatam qatati pukllachiqqa achkhata papata huqarin.
