document,sentence
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Sapanka taqapin imaymana yachaykunata, yuyaykunata, ruraykunatam  riqsichikkan."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Chay ruraykuna, yachaykuna, rimaykuna, imaymana  sasachakuypin rikhurichkan, chaykunatam kay qillqasqa mayt’upiqa  riqsichikuchkan."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Chay sasachakuykunatataq sapanka ñawinchaq wayna  sipaskuna, runa masikuna allinta chaninchananchik, yuyaychananchik,  hinaspataq allin ñanman chay yachaykunata, yuyaykunata, ruraykunata  apaykunanchik, chaytataq llapan yachaqaq masinchikkunaman,  ayllumasinchikkunaman riqsirichinanchik."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Hinaqa, chay llaqtanchikpa  kawsayninkunaqa allinta kawsarinqa, ñawpaqman puririnqa, t’ikahinaraq  llamllarinqa."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Kay t’aqa qillqasqapin, papa tarpuymanta rimachkan, chay llamk’aypin  imaymana sasachakuykuna rikhurichkan; hinallataq ñawpa allin ruraykunapas  rikhurichkan; ñawpa tarpuypiqa, uywa wanuwan llamk’arqanku, kunantaq  imaymana rantisqa hampukunawan tarpunku, chayta imaymana unquykunata  apamun, chayqa mana allinchu qhali kawsayninchikpaq."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Hinallataq huk t’aqapipas rimamuchkan way suyup, wak llaqtap imaynas  papa tarpuyninmanta, chaypipas riqsichiwanchik imayna rurayninkunata;  chay ruraykunamantapas imaymanatam hap’iqallanchiktaq, chaykunatataq  ayllupi chakra ruraq runamasikunaman riqsichinanchik, llamk’ayninku aswan  kallpanchanankupaq."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Hinallataqmi sapa t’aqapi imayna ñawichasqayki, rimasqayki  qatipanaykipaqpas tarinki."
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,Yachasqayki mana yachasqayki qatipanaykipaq  rimaykunapas kanmi.
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,Yachanaykipaq llapa ima rurasqaykikuna  tapukunaykipaqpas tarinkim.
2 Rimana - Qillqasqa Mayt’u Qichwa Qullaw. Texto de Comunicación del 2° Secundaria - Quechua Collao,"Iskay Simipi Kawsaypura Yachachiy Umalliq huñuna wasim kay qillqana  maytuta (Rimana sutiyuqta) makiykiman churaykamun, ichaya qampaq munay  kanman hinaspapas rimayniyki, qillqayniyki, ñawichayniyki allin qispinanpaq  allinta yanapasunkiman."
