document,sentence
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,yupawan Piru Suyupa Hatun Ñawichana Wasipi churasqa.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Kay maytutaqa paqarichiqkunapa mana munayninwanqa manam pipas mirachinmanchu.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Kaywanmi pukllaqhinalla  utqaylla yachayniykikunata allinta wiñachinki.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Kuyakuywanmi amawtapura huñunakuspayku qamkunapaq  imaymana mana riqsisqa willakuykunata qillqarqaniku.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Amawtaykipa, tayta mamaykipa, kuraq masiykikunapa  yanapakuyninwan aswan willakuykuna nisqanmanta allinta  rimanakunki."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Kay maytupi willakuykuna kaqwanmi aswan llaqtaykipa  kawsayninta, yachayninta riqsinki;  hinaspapas rimasqaykitapas  ñawichasqaykitapas allintam takyachinki."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Chaynallataqmi  wakin runa masiykikunawan hawkalla kawsakunaykipaqpas  yanapasunkim.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Kay maytupi qillqasqa willakuykunataqa munaykunkipunim.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Sumaq kallpachasqa willakuykunatam qawaykunki.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Kay  qillqasqa maytuqa ancha kuyasqayki masiykihinam, chaymi  sumaq sunquwan qawaykunayki."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Willka llaqtapi sipinakuypi ayllu runapa kutichiynin.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Taqa  Kawsay uywaymanta willakuy.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Katacha wikuñachanwan Mawka papa musuqwan tinkusqan.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Suqus pukyu quñi kasqanmanta Llaqta ayllumanta willakuy Llaqta ayllumanta willakuy  Taqa Warmi hurquy Ankamanta Kuskachaqninchik tariyqa hukkaqninpiqa  tumpa sasam, kaytam Upawachu llaqtaman  chayaspay, huk ayllu wasipi samapakuspa  iman kaqta qawarqani: Kay llaqtapim huk  llaqtakuna rurayninmantaqa, hukman niraq  kuskachakuyta iskay ruraypi qispichisqaku,  hukninmi “chawamanta” nisqan sutiyuq, chayqa  qunqaymanta rurasqam, hukninñataqmi  “rimanakusqa” nisqanmantaña paqarimusqan."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,Chay iskaynin rikchaypi warmi hurquymi Ankawan  sutichakun.
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Warmi qurquy kaqninpim qallariy, warmiwan  kuskachakuq munaq qariqa ayllunkunaman  willakun, sichus paykuna warmita riqsispanku  allinpaqhina kaptinqa anri ninku, mana chayqa  huk patmakunamantapas paykunapa allin  rikusqankutam maskapunku."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Tuta chayarqamuptinmi, yananchakuq munaq  waynaqa aylluntinkunawan warmi kuyasqanpa  wasiman asuykunku, achka upyana aqata, kaña  rahuta, kukatapas, pitanayuqta ima aparikuspa,  pasñapa ayllunkunaqa manam ima ruraytapas  atinkuchu, paypas manam yachaqpas tukunchu,    imarayku chaypi tarikuspa wasi watukusqankuta."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Warmipa wasin watukuqkunapas manaraqmi  imaman chay ayllu asuykusqankumanta  willanraqchu, sinkanankutaraqmi suyanku,  aswan warmipa tayta mamankutam sinkachinku,  chaynasqa kaptinkuñam, hukkuna rimaqhinalla  kasqanman chayanku."
Willakuykuna maytu - Chanka Literatura 1 - 1° Secundaria - Quechua chanka,"Chayhinam: – Tayta  Maryanu, kawalluymi allintaña puqurquspan,  yanan maskaypiña purichkan – nispa nin, warmipa  taytanqa chay rimasqanwan tumpataña  unanchakurquspan: – ¿Ichapas wakillayta  qawapayachkan?"
