document,sentence
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Llamk'ana qillqana mayt'upin tarinki imaymana ruraykunata aylluykiq, yawar aylluykiq kawsayninmanta pukllanapaq, takinapaq, siq'inapaq, (ch'irunapaq), llimp'inapaq, awinchanapaq, qillqanapaq."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Llamk'anaykipaqtaq yachachiqniyki, tayta mamayki, apuchayki, yawar aylluyki yanapasunki."
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Watuchkaykuan qampaq allin kayninta hinallataq musuq yachaykuna yachanaykipaq.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Kay llamk'ana qillqana mayt'uqa k}humpaykin yachanaykipaq chaymi amachanayki.
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Qillqayta, awinchayta kusisqalla yachay!"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Kaqninkuna Kaqninkuna T'aqa Ayllunchikpa kawsayninkunawan uywanakunchik Yachananchikpaq Imaraykutaq runakuna qura hampiwan manaa hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq runakuna qura hampikunawan manaa hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imaraykutaq runakuna qura hampiwan manaa hampikunchikchu?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Iman kanman qura hampiwan manaa hampikusqanchikmanta riqsisunchik Raphi Ayllunchikpi qura hampikunamanta awinchasun Raphi Iman kanman qura hampikunawan manaa hampikuptinchik awinchaspa qillqasun Raphi Qura hampikunamanta awinchasun qillqasun Raphi Qura hampimanta willakuyta awinchaspa qillqasun Raphi Rimanakusunchik Raphi Rimanakusunchik Raphi Llamk'asqayta riqsichini Raphi Llamk'asqayta riqsichini Raphi Tiklla ayllupa qura hampikunamanta yachayninta riqsisun Raphi Q'irukunapa hampinakuynin T'aqa Ayllunchikpi aymurasunchik Yachananchikpaq Imaraykutaq chakranchikkunapi mikhuykuna pisiyapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq chakranchikkunapi mikhuykuna pisiyapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imarayku pisi mikhuykuna kasqanmanta riqsisunchik Raphi Iman kanman chakrakunapi pisi mikhuykuna uqarisqanchikmanta riqsisunchik Raphi Chakrakunapi imayna mikhuykuna awinchaspa qillqasun Raphi Mikhuy huqariymanta awinchaspa qillqasun Raphi Chakrapi mikhuykunamanta awinchaspa qillqasun Raphi Mikhuykuna allin kasqanmanta awinchaspa qillqasun Raphi Rimanakusunchik Raphi Rimasunchik Raphi Llamk'asqayta riqsichini Raphi Rurasqayta riqsichini Raphi Conima llaqtapa aymurayninta riqsisun Raphi Ch'umbivilcas llaqtapi mikhuy uqariyta riqsisun T'aqa Llaqtanchikkunapa rayminkuna Yachananchikpaq Imaraykutaq ayllunchikpi raymikuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imanaptinmi ayllukunapi rayminkuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Raphi Imaraykutaq ayllunchikkunapi wakin raymikuna chinkapusqanta riqsisunchik Raphi Imanaptinmi ayllukunapi raymikuna chinkapusqanmanta riqsisunchik Raphi Saramanta qaiwamantawan awinchaspa qillqasun Raphi Papamanta ch'uumantawan awinchaspa qillqay Raphi Imayna sara, qaiwa wiasqanmanta?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Raymikunamanta awinchaspa qillqasun Raphi Rimasunchik Raphi Rimasunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Qanchi llaqtapa rayminta riqsisun Raphi Papamanta ch'uumantawan awinchaspa qillqay T'aqa Uywanchikkunata raymichasunchik Yachananchikpaq Imaraykutaq ayllunchikkunapi uywakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq ayllunchikkunapi uywakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imaraykutaq ayllukunapi uywakuna chinkasqanmanta riqsisunchik Raphi Iman kanman uywakuna chinkapusqanmanta riqsisunchik Raphi Ayllunchikkunapi uywakuna riqsinapaq awinchaspa qillqasun Raphi Uywakunapa chinkasqanmanta willarinata awinchaspa qillqasun Raphi Ayllukunapi uywakunamanta willarinata awinchaspa qillqasun Raphi Uywakuna uywanapaq yachaykunata awinchaspa qillqasun Raphi Rimasunchik Raphi Rimasunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Hunt'aya ayllupa uywakuna uywayninta riqsisun Raphi Lawrayanipi uywakuna uywayta riqsisun   T'aqa Ayllunchikkunapa rurayninkunata chaninchasunchik Yachananchikpaq Imaraykun ayllukunapi wasi ruraypi ayni mink'a chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imarayku ayllukunapi wasi ruraypi ayni mink'a chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Raphi Imarayku wasi ruraypi ayni mink'a chinkapusqanta riqsisun Raphi Iman kanman wasi ruraypi manaa ayni mink'a kaptin riqsisunchik Raphi Wasi ruranapaq kaqkunamanta qhatuna raphita awinchaspa qillqasun Raphi Wasi llamk'anakunamanta kasqan willakuyta awinchaspa riqsichisun Raphi Wasi ruranakunamanta kasqan willayta awinchaspa qillqasun Raphi Qhatuna raphita awinchaspa qillqasun Raphi Rimasunchik Raphi Rimakusunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Asheninka llaqtapa wasi rurayninta riqsisunchik Raphi Shawikunapa wasi rurayninta riqsisun T'aqa Ayllunchikkunapa yachayninkunata chaninchasunchik Yachananchikpaq Imaraykutaq ayllukunapi makiwan rurasqakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq ayllukunapi makiwan rurasqakuna chinkapuchkan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,"Raphi Imarayku away, makiwan rurasqakuna pisi apaykachasqanchikmanta riqsisunchik Raphi Imankanman awaykuna, makiwan rurasqakunata pisita apaykachaqtinchik Raphi Away, makiwan rurasqakunamanta musuq willakuyta awinchaspa qillqasun Raphi Willakuq raphikunata awinchaspa qillqasun Raphi Tapupayanata awinchaspa qillqasun Raphi Musuq willakuyta awinchaspa qillqasun Raphi Rimasunchik Raphi Rimasunchik Raphi Rurasqayta riqsichini Raphi Rurasqayta riqsichini Raphi Asheninkakunapa awayninkunata riqsisun Raphi Chumbivilcas llaqtapa awayninta riqsisunchik T'aqa Hatun tarpuypi yanapanakusunchik Yachananchikpaq Imaraykutaq tarpuy kinrayta unu pisiyan?"
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq tarpuy kinraypi unu pisiyan?
1 Rimana. Qichwa - Qullawpi llamk'ana mayt'u. Cuaderno de trabajo - Comunicación 1° - Quechua Collao,Yachananchikpaq Imaraykutaq apunchikkunata yuyarinanchikpuni?
