document,sentence
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Sapa taqam ñawpa llaqtapa huk llamkananmanta rimachkan.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Hinaspapas taqapi ruraykunaqa llaqta llamkayninpi sasachakuykuna  rikurimusqanmanhinam rurasqa tarikun.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kaymanhinam sasachakuy  imayna chinkachiypi yanapakunaykipaq munachisunki.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Kayna:  huk taqam papa tarpuymanta riman, papa tarpuypi sasachakuy  rikurimuqñataqmi runapa rurasqan wanuwan tarpusqanku."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Chaymanhinam qamta munachisunki, imaynataq papa tarpuqkuna  uywa wanuwan tarpunankupaq rimapayawaq, nispa."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Chaymantapas, sapa taqapim llaqtapa rurasqanmanta rimaq huk  rikchaq qillqasqa tarikun."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kaytam imaymana llamkanakunawan  ñawinchasqayki haypanaykipaq llamkanki.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Hinallataqmi  qillqanaykipaqpas rimanaykipaqpas imaymana ruraykunata tarinki.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Chaymantapas sapa taqapi imayna ñawinchasqayki, qatipanaykipaqpas  tarinkim."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Yachasqayki mana yachasqayki qatipanaykipaq rimaykunapas  kanmi.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Yachanaykipaq llapa ima rurasqaykikuna tupukunaykipaqpas  tarinkim.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Iskay Simipi Kawsaypura Yachachiy (ISKY) umalliq huñuna wasim kay  qillqasqa maytuta (Rimana sutiyuqta) makiykiman churaykamun,  ichaya qampaq munay kanman hinaspapas rimayniyki, qillqayniyki,  ñawinchayniyki allin qispinanpaq allinta yanapasunkiman."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Kaqninkuna  Sara kawsay huqarinapaq ñan allichay  Rurana Kallpasapa Apu  Asturya llaqtapi sara aymuray   Qali qali kawsakunapaq saramanta imaymana  tikrasqa kawsaykuna mikuy  Rurana Imayna imapas ruraspa hawka kawsay  Ruma llaqta imayna aycha allichasqanku   Allin kawsayman yaykunapaq kawsaykuna taqiy  yachay  Rurana Qusqu llaqtapi sayaq qullqakuna  Hampi qurakuna taqina  Challwakuna hawka kawsananpaq yaku chuyayachiy   Rurana Mayu qucha yaku qillichasqa kasqan   hunu salmun latutam sapa punchaw  hatun suyukunapi qarakunku    Llinki mituwan rurasqa mankakunaqa ancha allinmi  Rurana Llinki mituwan llamkaykuna chinkachkanña  Hurisu – Rumaniya mituwan llamkay  Mama pachata kuyapayastin sara tarpuy   Rurana Sara tarpuy  Unriyapi waranqa iktaryapi “munsantu” tarpuykunata kañanku   Allin kawsay haypanapaq tayta inti raymiy  Rurana Mama Pacha Tayta Intita muyuspan asuykuynin karuchakuynin  Inti raymi punchawkuna tiqsi muyupi rurasqanku   Wamanikunapa, apukunapa wasin riqsiy  Rurana Apu wamanikunapa rimaynin  Risya runakunapa Apunkunawan kawsaypi iñiyninku     SARA KAWSAY  SARA KAWSAY  ÑAN ÑAN  RURANA Chirusqakunata qawapayay hinaspa qillqana  maytuykipi tapukuykunata kutichiy: ."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Ima ruraykunataq chirusqakunapi qawachkanki.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kay llamkaykunata llaqtaykipi rurankuchu.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Chirusqapi, imapaqtaq llamkayta rurachkanmanku."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Ima pachapitaq kay rikchaq ruraykunata ruranku.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Kayta yacharqankichu:  Uywayuq kaspa, chuqllu sarata musquptiykiqa wakaykim  urquchata wachakunqa."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Chaki sarata musqukuptiykiñataqmi  maymantapas qullqi yaykumusunki.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Sara musqukuyqa hatun  kusikuymi.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",HUQARINAPAQ  HUQARINAPAQ  ALLICHAY ALLICHAY Paqarimusqa: Kawsay huqariy pachaqa llumpaytam tarpuqkuna ñakakunku.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kawsay ruruchisqanku qatumanpas wasinkumanpas ancha sasa  sasam astayqa.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Chakra qatumankunamanta karu kasqanraykum  ancha qullqipaq kawsay apay.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Runakunapas manañam  ayninakuyta munankuñachu, imatapas qullqillapaqñam  rurayta munanku."
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Karu yaykuna ñan kaspapas pasaypaq  mana puriy atina.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kayraykum chakrallapi mikuy ismurqunpas  chinkarqunpas.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kayna kaptinmi chakrapi rantiqkunapas  munasqankuta tarpuqman qullqita haywaykunku.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Qillqasqapa sutinmanhina: “Kallpasapa Apu” ¿imamantataq  rimapayawachkanchikmman?
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","¿Aylluykikuna imaynatataq sarata wasiman, qatuman astanku?"
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",¿Ayllukuna sara astaypi ima sasachakuykunawantaq tupanku?
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kunanñataq kaykunata rurastin ñawinchayta qallaykuy.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Puka qillqanawan siqispayki kuraq rimaykunata qawachiy.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Ñawinchasqaykita mana haypaspaqa wachupa waqtachanpi  tapukunaykipaq qillqay.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Qillu rapichapi mana riqsisqayki simikunata qillqay.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Kikinkupuras wasinku chayachinankukama  saranku astaypi yanapakuqku.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka",Sara llumpayta rururquptinqa asnupas  kawallupas manañas haypakuqkuñachu hinaspapas kichki rumisapa  ñankuna kaptin uywankupas sasata qispiq.
"4 Rimana - Qillqasqa maytu - Qichwa, Chanka. Texto de Comunicación del 4° de Secundaria - Quechua Chanka","Chaynapis Wakaru llaqta hatun  kamachikuq tayta Niku, tukilla, sumaqlla llapachanta qayaspan kaynata  nisqa:   – Tayta kumunkuna uyarillawaychik, qayna punchaw tutaykuytam  huk kawallu yaqalla uku pampaman wichikuykun."
